Filename;Word;Vowel;F1 50%;F2 50%;F3 50%;Analyst;Date;Settings
bdg1;bdg1;v1;661.6276473812783;1725.0843198348105;3057.258493105219;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bdg1;bdg1;v2;429.48690830439557;1931.4904355516758;2907.2831726573013;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bdg2;bdg2;v1;700.7112637981156;1663.8822103700554;3054.3105243134455;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bdg2;bdg2;v2;406.7813151195681;2008.1220688434066;2920.5231908764713;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bdg3;bdg3;v1;629.1082437143242;1657.1699863553072;2993.5427662790617;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bdg3;bdg3;v2;410.00288756540294;2056.134411517171;3023.1179189961167;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bgb1;bgb1;v1;595.415216608574;2134.691246522715;2803.9389187032366;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bgb1;bgb1;v2;548.9243034634594;2022.6145417276396;2733.1684873101703;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bgb2;bgb2;v1;612.4615560130518;1896.0891962327203;2770.563807237143;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bgb2;bgb2;v2;496.3386330078662;2043.6517285860798;2687.368579118158;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bgb3;bgb3;v1;608.9557732853481;2030.2895349025828;2675.5273781627807;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
bgb3;bgb3;v2;409.89413298519537;2085.4175154169657;2679.188534957776;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
dbm1;dbm1;v1;698.711504196857;1599.4459633587921;3097.0131321410618;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
dbm1;dbm1;v2;597.7678145118556;1642.682217534986;3025.079323261688;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
dbm2;dbm2;v1;672.5978139001442;1562.6285022024501;3066.6151435208776;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
dbm2;dbm2;v2;614.6971692076727;1645.8847513500768;3089.0277184867127;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
dbm3;dbm3;v1;604.533740882294;1612.0289775062345;2995.594371735177;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
dbm3;dbm3;v2;728.9253647895312;1569.1458810649162;2997.996965510505;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;NA;ae1;982.4120799127147;1414.3896211074673;2855.17531353869;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;NA;oa1;447.20067524625864;920.9177550272098;2231.1554508221893;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;NA;ee1;714.8727004891499;1969.031307173706;3064.927915289338;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;gbm1;v1;612.9026421597245;2037.9273534550452;3038.0990525870807;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;gbm1;v2;546.0510501870666;1621.1661629209943;2980.3038686670584;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;NA;ii1;292.0693955873833;2632.9541251100272;3497.482390669661;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;NA;aa1;843.6486894602614;1339.1109643551497;3641.886059013019;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;NA;oe1;623.1852048189999;1567.8882820258366;2820.050671517806;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm1;NA;@;401.0274055492805;1605.6082969535005;2332.4584662899683;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm2;gbm2;v1;524.3081988656793;2087.999209448852;2788.680072619026;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm2;gbm2;v2;657.2100218191695;1623.5517128696426;3028.9567698497103;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm3;gbm3;v1;583.4053388011262;2147.024384318922;2951.1934344427277;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gbm3;gbm3;v2;663.864663987777;1625.1373508065594;2927.541256236439;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gvg1;gvg1;v1;631.936920146789;1965.8143780885628;2778.4350884206847;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gvg1;gvg1;v2;430.9549561791829;1973.7223045775506;2669.5261997846756;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gvg2;gvg2;v1;598.837991067207;1924.1798445526363;2611.4848686969235;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gvg2;gvg2;v2;512.1848282112527;2019.85773848198;2734.0460989057206;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gvg3;gvg3;v1;580.8672919191898;2018.0685805658766;2753.4718209890993;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
gvg3;gvg3;v2;470.81119353273317;1971.6269084538762;2773.442086225298;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs1;hfs1;v1;634.5851388415994;1609.477598890875;2738.0108121041103;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs1;hfs1;v2;448.71429239628094;1693.564237970187;2823.6076434667625;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs2;hfs2;v1;660.9805635586423;1591.84651022381;2851.415800096236;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs2;hfs2;v2;524.075481756836;1717.665645048807;2878.2958030580326;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs3;hfs3;v1;678.4730082416941;1719.189919926535;2673.3274985880917;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
hfs3;hfs3;v2;527.0115512857677;1718.0132830101716;2868.1407942021056;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
ksp1;ksp1;v1;593.5946252049184;1757.2736244451803;2825.1741922019196;E;Sun Feb  8 17:36:48 2026;Max formant: 5500 Hz
