simulation,generation,round,trial,referent,speaker,listener,lexeme,type,produced_x,produced_y,prob,evidence,success,old_guess_A,new_guess_A,old_guess_B,new_guess_B,old_stored_y_A,old_stored_y_B,new_stored_y_A,new_stored_y_B
1,1,1,1,4,A,B,D,large,1.0034490034810226,0.317011004272056,0.06471783950068653,0,0,0.37927389691694247,0.37927389691694247,0.06471783950068655,0.06563173098645701,0.5,0.5,0.5,0.5
1,1,1,2,2,A,B,B,large,0.3348176012682868,0.5299251685408968,0.1490839804082485,0,1,0.20153505439839145,0.20153505439839145,0.1490839804082485,0.1639257744331475,0.5,0.5,0.5149625842704484,0.5149625842704484
1,1,1,3,1,B,A,A,small,0.01268850706063112,0.36701128806746985,0.378269620044978,0,0,0.37826962004497805,0.38180373263257694,0.10026643063798904,0.10026643063798904,0.5,0.5,0.5,0.5
1,1,1,4,3,B,A,C,small,0.6896563599570634,0,0.43918716241745726,1,1,0.03918716241745722,0.46705739925985873,0.24391320523306106,0.24391320523306106,0.5,0.5,0.25,0.25
1,1,2,1,4,A,B,D,large,0.9935851110288072,0.9496184354251809,0.3493336968299988,0.7092549146088545,0,0.37927389691694247,0.37927389691694247,0.06563173098645701,0.35275085048356963,0.5,0.5,0.5,0.5
1,1,2,2,2,A,B,B,large,0.3467976232880919,1,0.5639257744331475,1,1,0.20153505439839145,0.20153505439839145,0.1639257744331475,0.591364777494518,0.5149625842704484,0.5149625842704484,0.7574812921352242,0.7574812921352242
1,1,2,3,3,B,A,C,small,0.6709588496531262,0,0.8670573992598587,1,1,0.46705739925985873,0.8794982943630834,0.24391320523306106,0.24391320523306106,0.25,0.25,0.125,0.125
1,1,2,4,1,B,A,A,small,-0.016551792569980874,1,0,-1,0,0.38180373263257694,0,0.10026643063798904,0.10026643063798904,0.5,0.5,0.5,0.5
1,1,3,1,2,A,B,B,large,0.3191818913663058,0.8348583207739084,0.6500884002773177,0.14680905695699928,1,0.20153505439839145,0.20153505439839145,0.591364777494518,0.6752281731920462,0.7574812921352242,0.7574812921352242,0.7961698064545664,0.7961698064545664
1,1,3,2,1,B,A,A,small,0.006443172766834508,0.6594897080135993,0,0,0,0,0,0.10026643063798904,0.10026643063798904,0.5,0.5,0.5,0.5
1,1,3,3,4,A,B,D,large,1.001975262816962,0.8712574251606336,0.4773238591289928,0.31143252161355794,0,0.37927389691694247,0.37927389691694247,0.35275085048356963,0.48106734914695104,0.5,0.5,0.5,0.5
1,1,3,4,3,B,A,C,small,0.6903492974325665,0,0.9499999999999998,1,1,0.8794982943630834,0.9550811584492837,0.24391320523306106,0.24391320523306106,0.125,0.125,0.0625,0.0625
1,1,4,1,1,A,B,A,small,-0.009936798432060214,0.07821570896197838,0.3245689618050876,0.5607563279177465,0,0,0,0.10026643063798904,0.32786593512141426,0.5,0.5,0.5,0.5
1,1,4,2,4,A,B,D,large,1.0035371501898633,0,0.081067349146951,-1,0,0.37927389691694247,0.37927389691694247,0.48106734914695104,0.08219182577344125,0.5,0.5,0.5,0.5
1,1,4,3,3,B,A,C,small,0.6626419082046872,0.13081329658429233,0.9499999999999998,0.30174225276055305,1,0.9550811584492837,0.9550811584492837,0.24391320523306106,0.24391320523306106,0.0625,0.0625,0.09665664829214617,0.09665664829214617
1,1,4,4,2,B,A,B,large,0.3302088955297968,0.8352338123752142,0.26091379666772097,0.14844685567332377,0,0.20153505439839145,0.2638167197817475,0.6752281731920462,0.6752281731920462,0.7961698064545664,0.7961698064545664,0.7961698064545664,0.7961698064545664
1,1,5,1,4,A,B,D,large,0.9877212020154466,0.4792829315291712,0.08219182577344125,0,0,0.37927389691694247,0.37927389691694247,0.08219182577344125,0.08333048548693313,0.5,0.5,0.5,0.5
1,1,5,2,1,B,A,A,small,0.0018456690281601212,0.6932871108186855,0,0,0,0,0,0.32786593512141426,0.32786593512141426,0.5,0.5,0.5,0.5
1,1,5,3,2,A,B,B,large,0.3231319039123688,0.256985930842643,0.6752281731920462,0,1,0.2638167197817475,0.2638167197817475,0.6752281731920462,0.6993969423494605,0.7961698064545664,0.7961698064545664,0.5265778686486047,0.5265778686486047
1,1,5,4,3,B,A,C,small,0.675543048571389,0,0.9499999999999998,1,1,0.9550811584492837,0.9550811584492837,0.24391320523306106,0.24391320523306106,0.09665664829214617,0.09665664829214617,0.04832832414607308,0.04832832414607308
1,1,6,1,1,A,B,A,small,0.001373411392383478,0,0.7278659351214143,1,1,0,0,0.32786593512141426,0.7495703336276113,0.5,0.5,0.25,0.25
1,1,6,2,3,A,B,C,small,0.6538927519630741,0,0.643913205233061,1,1,0.9550811584492837,0.9550811584492837,0.24391320523306106,0.6692709301596593,0.04832832414607308,0.04832832414607308,0.02416416207303654,0.02416416207303654
1,1,6,3,4,B,A,D,large,1.003147299223888,0.050115724164552844,0.09498852219794768,-0.710713436797487,0,0.37927389691694247,0.09628586499645096,0.08333048548693313,0.08333048548693313,0.5,0.5,0.5,0.5
1,1,6,4,2,B,A,B,large,0.33688072310125444,0.26539068713451136,0.2638167197817475,0,0,0.2638167197817475,0.2667402842931421,0.6993969423494605,0.6993969423494605,0.5265778686486047,0.5265778686486047,0.5265778686486047,0.5265778686486047
1,1,7,1,4,B,A,D,large,1.0032737265229528,0.5829254459416192,0.09628586499645096,0,0,0.09628586499645096,0.09759901589663594,0.08333048548693313,0.08333048548693313,0.5,0.5,0.5,0.5
1,1,7,2,1,B,A,A,small,0.005611222456468926,0.12018274250628004,0.14076726895196248,0.3519181723799062,0,0,0.142591341422919,0.7495703336276113,0.7495703336276113,0.25,0.25,0.25,0.25
1,1,7,3,2,A,B,B,large,0.3200880247600468,0.25425671853571247,0.6993969423494605,0,1,0.2667402842931421,0.2667402842931421,0.6993969423494605,0.7225062788006104,0.5265778686486047,0.5265778686486047,0.3904172935921586,0.3904172935921586
1,1,7,4,3,A,B,C,small,0.6571601730095045,0.008405354646324848,0.9499999999999998,0.9494352095523753,1,0.9550811584492837,0.9550811584492837,0.6692709301596593,0.9550811584492837,0.02416416207303654,0.02416416207303654,0.016284758359680695,0.016284758359680695
1,1,8,1,4,A,B,D,large,0.9955070912546377,0.40708775750426524,0.08333048548693313,0,0,0.09759901589663594,0.09759901589663594,0.08333048548693313,0.08448346779238952,0.5,0.5,0.5,0.5
1,1,8,2,2,B,A,B,large,0.33485450766825375,0.49297032510801464,0.2667402842931421,0,0,0.2667402842931421,0.2696843787465316,0.7225062788006104,0.7225062788006104,0.3904172935921586,0.3904172935921586,0.3904172935921586,0.3904172935921586
1,1,8,3,1,B,A,A,small,0.006379435913501877,0.4209856929099894,0.142591341422919,0,0,0.142591341422919,0.1444350771211564,0.7495703336276113,0.7495703336276113,0.25,0.25,0.25,0.25
1,1,8,4,3,A,B,C,small,0.6711096818235153,0.16274119221957706,0.9499999999999998,0.15730060345259397,0,0.9550811584492837,0.9550811584492837,0.9550811584492837,0.9507077096900849,0.016284758359680695,0.016284758359680695,0.016284758359680695,0.016284758359680695
1,1,9,1,1,A,B,A,small,0.007732031253699529,0.03576802910018466,0.9499999999999998,0.790592994751233,1,0.1444350771211564,0.1444350771211564,0.7495703336276113,0.9550811584492837,0.25,0.25,0.14288401455009234,0.14288401455009234
1,1,9,2,2,B,A,B,large,0.34057190523290765,0.5959575215288678,0.2696843787465316,0,0,0.2696843787465316,0.2726488854644352,0.7225062788006104,0.7225062788006104,0.3904172935921586,0.3904172935921586,0.3904172935921586,0.3904172935921586
1,1,9,3,4,B,A,D,large,0.9981977677548686,0,0,-1,0,0.09759901589663594,0,0.08448346779238952,0.08448346779238952,0.5,0.5,0.5,0.5
1,1,9,4,3,A,B,C,small,0.6531009081305011,0.10359832431575429,0.9499999999999998,0.432357923966356,0,0.9550811584492837,0.9550811584492837,0.9507077096900849,0.9507077096900849,0.016284758359680695,0.016284758359680695,0.016284758359680695,0.016284758359680695
1,1,10,1,4,A,B,D,large,0.9964662153681747,0.26038382632111434,0.08448346779238952,0,0,0,0,0.08448346779238952,0.08565091246323406,0.5,0.5,0.5,0.5
1,1,10,2,2,B,A,B,large,0.3484551301656761,0.4103517303038308,0.2726488854644352,0,0,0.2726488854644352,0.27563368050772585,0.7225062788006104,0.7225062788006104,0.3904172935921586,0.3904172935921586,0.3904172935921586,0.3904172935921586
1,1,10,3,1,B,A,A,small,0.005470071126820095,0.043687898646099135,0.44292168704571744,0.7462165248114025,0,0.1444350771211564,0.44662592005502777,0.9550811584492837,0.9550811584492837,0.14288401455009234,0.14288401455009234,0.14288401455009234,0.14288401455009234
1,1,10,4,3,A,B,C,small,0.6653685192774983,0.01731600972343443,0.9499999999999998,0.8967507913849423,1,0.9550811584492837,0.9550811584492837,0.9507077096900849,0.9550811584492837,0.016284758359680695,0.016284758359680695,0.016800384041557564,0.016800384041557564
1,2,1,1,4,B,A,D,large,0.981581603554106,0.4300240079929024,0.3472202194820942,0,0,0.3472202194820942,0.35062783990192187,0.24396406126457176,0.24396406126457176,0.5,0.5,0.5,0.5
1,2,1,2,3,B,A,C,small,0.6650123235666656,0.5409534216811417,0.2446750338052622,0,0,0.24467503380526223,0.2474577766092806,0.17740042123529326,0.17740042123529326,0.016800384041557564,0.016800384041557564,0.016800384041557564,0.016800384041557564
1,2,1,3,1,A,B,A,small,-0.0028929671643190234,0,0.6537952471491127,1,0,0.30771367124135196,0.30771367124135196,0.25379524714911256,0.6571825746432386,0.14288401455009234,0.14288401455009234,0.14288401455009234,0.14288401455009234
1,2,1,4,2,A,B,B,large,0.3296641172414417,0,0.008009231596618538,-1,0,0.22592750371700868,0.22592750371700868,0.40800923159661856,0.008129291629002933,0.3904172935921586,0.3904172935921586,0.3904172935921586,0.3904172935921586
1,2,2,1,3,A,B,C,small,0.6649391034923143,0.19355666716678177,0.1879489411692061,0.02637129983478211,0,0.2474577766092806,0.2474577766092806,0.17740042123529326,0.19024902625279724,0.016800384041557564,0.016800384041557564,0.016800384041557564,0.016800384041557564
